Incident_ID,Source_Date,Year,Attack_Type,IdP_Context,SaaS_Context,Impact_Primary,Entry_Vector,Source_Org,OAuth_Flow,Token_Artifacts,Misconfig_1,Misconfig_2,Controls_1,Controls_2,Confidence,Source_URL
2025-06-UNC6040-01,2025-06-04,2025,Malicious OAuth app / delegated consent abuse,Salesforce,Salesforce,Data exfiltration,User interaction (phishing/social engineering),Google Threat Intelligence Group,Device code,Access token,App trust restrictions weak,Over-privileged scopes/roles,App allowlisting / tenant restrictions,Least-privilege scope policy (limit high-risk scopes),High,https://cloud.google.com/blog/topics/threat-intelligence/voice-phishing-data-extortion
2025-03-Tycoon-01,2025-07-31,2025,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Persistence / stealth access,User interaction (phishing/social engineering),Proofpoint Threat Research,Unknown / Not stated,Access token / consent grant; session cookie,App trust restrictions weak,User consent policy too permissive,Trusted publisher enforcement (publisher verification),User consent restrictions / risk-based approval,Medium,https://www.proofpoint.com/us/blog/threat-insight/microsoft-oauth-app-impersonation-campaign-leads-mfa-phishing
2025-03-Tycoon-02,2025-07-31,2025,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Persistence / stealth access,User interaction (phishing/social engineering),Proofpoint Threat Research,Unknown / Not stated,Access token / consent grant; session cookie,App trust restrictions weak,,Trusted publisher enforcement (publisher verification),,Medium,https://www.proofpoint.com/us/blog/threat-insight/microsoft-oauth-app-impersonation-campaign-leads-mfa-phishing
2025-08-UNC6395-01,2025-08-26,2025,Compromised legitimate OAuth app (trusted integration abuse),Salesforce,Salesloft Drift,Data exfiltration,Third-party integration compromise,Google Threat Intelligence Group,Unknown / Not stated,OAuth access token; refresh token,Third-party integration governance weak,Over-privileged scopes/roles,Periodic OAuth app access review (inventory + recertification),Least-privilege scope policy (limit high-risk scopes),High,https://cloud.google.com/blog/topics/threat-intelligence/data-theft-salesforce-instances-via-salesloft-drift
2025-08-UNC6395-02,2025-08-28,2025,Compromised legitimate OAuth app (trusted integration abuse),Google,Google Workspace,Data exfiltration,Third-party integration compromise,Google Threat Intelligence Group,Unknown / Not stated,OAuth tokens (GTIG explicitly says OAuth tokens compromised and used),Third-party integration governance weak,,Periodic OAuth app access review (inventory + recertification),,High,https://cloud.google.com/blog/topics/threat-intelligence/data-theft-salesforce-instances-via-salesloft-drift
2025-09-RedCanaryOAuth-01,2025-09-04,2025,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Persistence / stealth access,User interaction (phishing/social engineering),Red Canary,Unknown / Not stated,Access token,User consent policy too permissive,App trust restrictions weak,User consent restrictions / risk-based approval,Trusted publisher enforcement (publisher verification),High,https://redcanary.com/blog/threat-detection/oauth-app-attacks/
2025-10-CoPhish-01,2025-10-20,2025,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,Compromised account,Datadog Security Labs,Unknown / Not stated,Access token,User consent policy too permissive,OAuth app governance weak,User consent restrictions / risk-based approval,Restrict who can register OAuth apps,High,https://securitylabs.datadoghq.com/articles/cophish-using-microsoft-copilot-studio-as-a-wrapper/
2025-10-CoPhish-02,2025-10-20,2025,Malicious OAuth app / delegated consent abuse,Microsoft Entra ID (Azure AD),Microsoft 365,Privilege escalation / admin takeover,Admin interaction (consent/social engineering),Datadog Security Labs,Unknown / Not stated,Access token,Admin consent governance weak,App trust restrictions weak,Admin consent approval workflow,App allowlisting / tenant restrictions,High,https://securitylabs.datadoghq.com/articles/cophish-using-microsoft-copilot-studio-as-a-wrapper/
2025-09-UNK_AcademicFlare-01,2025-12-18,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Proofpoint Threat Research,Device code,Access token,OAuth flow / client hardening gaps,,Conditional Access / Policy-based access restrictions (session/device/location/flow),,High,https://www.proofpoint.com/us/blog/threat-insight/access-granted-phishing-device-code-authorization-account-takeover
2025-10-TA2723-01,2025-12-18,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Proofpoint Threat Research,Device code,Access token,OAuth flow / client hardening gaps,,Conditional Access / Policy-based access restrictions (session/device/location/flow),,Medium,https://www.proofpoint.com/us/blog/threat-insight/access-granted-phishing-device-code-authorization-account-takeover
2025-10-TA2723-02,2025-12-18,2025,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Proofpoint Threat Research,Device code,Access token,OAuth flow / client hardening gaps,,Conditional Access / Policy-based access restrictions (session/device/location/flow),,Medium,https://www.proofpoint.com/us/blog/threat-insight/access-granted-phishing-device-code-authorization-account-takeover
2026-01-UNC6661-01,2026-01-30,2026,Compromised legitimate OAuth app (trusted integration abuse),Google,Google Workspace,Persistence / stealth access,Compromised account,Google Threat Intelligence Group,Unknown / Not stated,Access token,App trust restrictions weak,Monitoring / audit visibility insufficient,App allowlisting / tenant restrictions,Alerting on consent/app changes,High,https://cloud.google.com/blog/topics/threat-intelligence/expansion-shinyhunters-saas-data-theft
2026-03-RedCanary-GWS-01,2026-03-04,2026,Malicious OAuth app / delegated consent abuse,Google,Google Workspace,Data exfiltration,User interaction (phishing/social engineering),Red Canary,Unknown / Not stated,Access token,User consent policy too permissive,App trust restrictions weak,User consent restrictions / risk-based approval,App allowlisting / tenant restrictions,High,https://redcanary.com/blog/threat-detection/google-workspace-oauth-attack/
2026-01-Gainsight-01,2026-01-02,2026,Compromised legitimate OAuth app (trusted integration abuse),Salesforce,Salesforce,Persistence / stealth access,Token stolen (endpoint/logs/session artifacts),Gainsight,Unknown / Not stated,Access token,Token lifecycle controls weak,,Refresh token lifetime / rotation policy,,Medium,https://www.gainsight.com/blog/how-we-accelerated-a-year-of-security-work-in-weeks/
2022-04-Heroku-01,2022-06-14,2022,Compromised legitimate OAuth app (trusted integration abuse),GitHub,GitHub,Data exfiltration,Third-party integration compromise,Heroku,Unknown / Not stated,Access token,Third-party integration governance weak,,Periodic OAuth app access review (inventory + recertification),,High,https://www.heroku.com/blog/april-2022-incident-review/
2022-04-Travis_CI-01,2022-04-15,2022,Compromised legitimate OAuth app (trusted integration abuse),GitHub,GitHub,Data exfiltration,Third-party integration compromise,GitHub,Unknown / Not stated,Access token,Third-party integration governance weak,,Periodic OAuth app access review (inventory + recertification),,Medium,https://github.blog/news-insights/company-news/security-alert-stolen-oauth-user-tokens/
2024-03-Mintlify-01,2024-03-13,2024,Bearer token replay (stolen access/refresh token),GitHub,GitHub,Data exfiltration,Third-party integration compromise,Mintlify,Unknown / Not stated,Access token,Credential / key material hygiene weak,,Credential / key material management (storage + rotation),,High,https://www.mintlify.com/blog/incident-march-13
2022-05-NPM-01,2022-05-26,2022,Compromised legitimate OAuth app (trusted integration abuse),GitHub,GitHub,Data exfiltration,Third-party integration compromise,GitHub,Unknown / Not stated,Access token,Third-party integration governance weak,Credential / key material hygiene weak,Periodic OAuth app access review (inventory + recertification),Credential / key material management (storage + rotation),High,https://github.blog/news-insights/company-news/npm-security-update-oauth-tokens/
2026-04-Vercel-01,2026-04-20,2026,Compromised legitimate OAuth app (trusted integration abuse),Google,Google Workspace,Data exfiltration,Third-party integration compromise,Wiz,Unknown / Not stated,Access token,Third-party integration governance weak,Over-privileged scopes/roles,Periodic OAuth app access review (inventory + recertification),Least-privilege scope policy (limit high-risk scopes),Medium,https://www.wiz.io/blog/contextai-oauth-token-compromise; https://www.trendmicro.com/en_us/research/26/d/vercel-breach-oauth-supply-chain.html
2026-04-Storm2372-01,2026-04-06,2026,Device code phishing (device authorization grant abuse),Microsoft Entra ID (Azure AD),Microsoft 365,Data exfiltration,User interaction (phishing/social engineering),Microsoft Threat Intelligence,Device code,Access token; Refresh token; Primary Refresh Token (PRT),OAuth flow / client hardening gaps,Token lifecycle controls weak,Conditional Access / Policy-based access restrictions (session/device/location/flow),Token revocation + session termination playbook,High,https://www.microsoft.com/en-us/security/blog/2026/04/06/ai-enabled-device-code-phishing-campaign-april-2026/
